n_or_p,experiment_id,organism_name,omics_type,background_factors,treatment,control,publication_doi,publication_title,is_time_course,table_scope,table_scope_detail
N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,Prochlorococcus MED4,PROTEOMICS,axenic|light,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,10.1101/2025.11.24.690089,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,True,all_detected_genes,
N,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,Prochlorococcus MED4,RNASEQ,axenic|light,PRO99-lowN nutrient starvation,PRO99-lowN exponential growth,10.1101/2025.11.24.690089,Transcriptomic and Proteomic Analysis Reveals Nitrogen Recycling as a Core Mechanism for Prochlorococcus Prolonged Survival,False,all_detected_genes,
N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,Prochlorococcus MED4,RNASEQ,axenic|light,N-depleted Pro99 medium,N-replete Pro99 medium,10.1038/ismej.2017.88,Nitrogen cost minimization is promoted by structural changes in the transcriptome of N-deprived Prochlorococcus cells,True,filtered_subset,Top 50% of genes by expression level
N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,Prochlorococcus MED4,MICROARRAY,axenic|light,Nitrogen deprivation (MED4),N-replete Pro99 medium (MED4),10.1038/msb4100087,Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability,True,all_detected_genes,
N,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,Prochlorococcus MIT9313,MICROARRAY,axenic|light,Nitrogen deprivation (MIT9313),N-replete Pro99 medium (MIT9313),10.1038/msb4100087,Global gene expression of Prochlorococcus ecotypes in response to changes in nitrogen availability,True,all_detected_genes,
P,10.1111/1462-2920.13104_phosphorus_plimited_natl2a_rnaseq_uninfected,Prochlorococcus NATL2A,RNASEQ,axenic|diel,P-limited,P-replete control,10.1111/1462-2920.13104,Transcriptomic response during phage infection of a marine cyanobacterium under phosphorus-limited conditions,True,significant_only,
P,10.1186/2046-9063-8-7_pi_limitation_mit9312_itraq,Prochlorococcus MIT9312,PROTEOMICS,light|axenic,Phosphate deplete (10 uM NaH2PO4),Phosphate replete (50 uM NaH2PO4),10.1186/2046-9063-8-7,Comparative quantitative proteomics of Prochlorococcus ecotypes to a decrease in environmental phosphate concentrations,False,significant_only,Only proteins reaching the paper^s fold-change cutoff (>1.6 or <0.6) are reported in S1.
P,10.1186/2046-9063-8-7_pi_limitation_natl2a_itraq,Prochlorococcus NATL2A,PROTEOMICS,light|axenic,Phosphate deplete (10 uM NaH2PO4),Phosphate replete (50 uM NaH2PO4),10.1186/2046-9063-8-7,Comparative quantitative proteomics of Prochlorococcus ecotypes to a decrease in environmental phosphate concentrations,False,significant_only,Only proteins reaching the paper^s fold-change cutoff (>1.6 or <0.6) are reported in S1.
P,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,Prochlorococcus MED4,MICROARRAY,axenic|light,Phosphate starvation,P-replete Pro99 medium,10.1073/pnas.0601301103,Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation,True,filtered_subset,"Genes with q < 0.05 at t=48h, all timepoints reported"
P,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_mit9313_microarray,Prochlorococcus MIT9313,MICROARRAY,axenic|light,Phosphate starvation,P-replete Pro99 medium,10.1073/pnas.0601301103,Phosphate acquisition genes in Prochlorococcus ecotypes: Evidence for genome-wide adaptation,True,filtered_subset,"Genes with q < 0.05 at t=48h, all timepoints reported"
